guid,title,pubDate,description,link,media
b'https://www.news18.com/news/lifestyle/priyanka-chopras-memoir-unfinished-is-complete-and-is-coming-soon-2776125.html',"b""Priyanka Chopra's Memoir 'Unfinished' is Complete and is 'Coming Soon'""",b'2020-08-11T12:17:13+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/08/1596254224_priyanka-chopra-12.jpg' width='90' height='62' />'Unfinished' is a collection of personal essays, stories and observations of Priyanka Chopra, to be published by Penguin Random House India.\n\t""",b'https://www.news18.com/news/lifestyle/priyanka-chopras-memoir-unfinished-is-complete-and-is-coming-soon-2776125.html',
b'https://www.news18.com/news/lifestyle/priyanka-chopras-memoir-unfinished-is-complete-and-is-coming-soon-2776125.html',"b""Priyanka Chopra's Memoir 'Unfinished' is Complete and is 'Coming Soon'""",b'2020-08-11T12:17:13+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/08/1596254224_priyanka-chopra-12.jpg' width='90' height='62' />'Unfinished' is a collection of personal essays, stories and observations of Priyanka Chopra, to be published by Penguin Random House India.\n\t""",b'https://www.news18.com/news/lifestyle/priyanka-chopras-memoir-unfinished-is-complete-and-is-coming-soon-2776125.html',
b'https://www.news18.com/news/lifestyle/priyanka-chopras-memoir-unfinished-is-complete-and-is-coming-soon-2776125.html',"b""Priyanka Chopra's Memoir 'Unfinished' is Complete and is 'Coming Soon'""",b'2020-08-11T12:17:13+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/08/1596254224_priyanka-chopra-12.jpg' width='90' height='62' />'Unfinished' is a collection of personal essays, stories and observations of Priyanka Chopra, to be published by Penguin Random House India.\n\t""",b'https://www.news18.com/news/lifestyle/priyanka-chopras-memoir-unfinished-is-complete-and-is-coming-soon-2776125.html',
b'https://www.news18.com/news/lifestyle/priyanka-chopras-memoir-unfinished-is-complete-and-is-coming-soon-2776125.html',"b""Priyanka Chopra's Memoir 'Unfinished' is Complete and is 'Coming Soon'""",b'2020-08-11T12:17:13+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/08/1596254224_priyanka-chopra-12.jpg' width='90' height='62' />'Unfinished' is a collection of personal essays, stories and observations of Priyanka Chopra, to be published by Penguin Random House India.\n\t""",b'https://www.news18.com/news/lifestyle/priyanka-chopras-memoir-unfinished-is-complete-and-is-coming-soon-2776125.html',
b'https://www.news18.com/news/lifestyle/priyanka-chopras-memoir-unfinished-is-complete-and-is-coming-soon-2776125.html',"b""Priyanka Chopra's Memoir 'Unfinished' is Complete and is 'Coming Soon'""",b'2020-08-11T12:17:13+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/08/1596254224_priyanka-chopra-12.jpg' width='90' height='62' />'Unfinished' is a collection of personal essays, stories and observations of Priyanka Chopra, to be published by Penguin Random House India.\n\t""",b'https://www.news18.com/news/lifestyle/priyanka-chopras-memoir-unfinished-is-complete-and-is-coming-soon-2776125.html',
b'https://www.news18.com/news/lifestyle/mom-laughed-when-i-said-i-wanted-to-be-writer-ruskin-bond-2723697.html',b'Mom Laughed When I Said I Wanted to Be Writer: Ruskin Bond',b'2020-07-19T15:52:07+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/05/1589879500_untitled-design-2020-05-19t144042.685.png' width='90' height='62' />Ruskin Bond's aim was to write stories and become an author, but no one else seemed to think it was a good idea.""",b'https://www.news18.com/news/lifestyle/mom-laughed-when-i-said-i-wanted-to-be-writer-ruskin-bond-2723697.html',
b'https://www.news18.com/news/lifestyle/mom-laughed-when-i-said-i-wanted-to-be-writer-ruskin-bond-2723697.html',b'Mom Laughed When I Said I Wanted to Be Writer: Ruskin Bond',b'2020-07-19T15:52:07+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/05/1589879500_untitled-design-2020-05-19t144042.685.png' width='90' height='62' />Ruskin Bond's aim was to write stories and become an author, but no one else seemed to think it was a good idea.""",b'https://www.news18.com/news/lifestyle/mom-laughed-when-i-said-i-wanted-to-be-writer-ruskin-bond-2723697.html',
b'https://www.news18.com/news/lifestyle/mom-laughed-when-i-said-i-wanted-to-be-writer-ruskin-bond-2723697.html',b'Mom Laughed When I Said I Wanted to Be Writer: Ruskin Bond',b'2020-07-19T15:52:07+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/05/1589879500_untitled-design-2020-05-19t144042.685.png' width='90' height='62' />Ruskin Bond's aim was to write stories and become an author, but no one else seemed to think it was a good idea.""",b'https://www.news18.com/news/lifestyle/mom-laughed-when-i-said-i-wanted-to-be-writer-ruskin-bond-2723697.html',
b'https://www.news18.com/news/lifestyle/mom-laughed-when-i-said-i-wanted-to-be-writer-ruskin-bond-2723697.html',b'Mom Laughed When I Said I Wanted to Be Writer: Ruskin Bond',b'2020-07-19T15:52:07+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/05/1589879500_untitled-design-2020-05-19t144042.685.png' width='90' height='62' />Ruskin Bond's aim was to write stories and become an author, but no one else seemed to think it was a good idea.""",b'https://www.news18.com/news/lifestyle/mom-laughed-when-i-said-i-wanted-to-be-writer-ruskin-bond-2723697.html',
b'https://www.news18.com/news/lifestyle/mom-laughed-when-i-said-i-wanted-to-be-writer-ruskin-bond-2723697.html',b'Mom Laughed When I Said I Wanted to Be Writer: Ruskin Bond',b'2020-07-19T15:52:07+05:30',"b""<img src='https://images.news18.com/ibnlive/uploads/2020/05/1589879500_untitled-design-2020-05-19t144042.685.png' width='90' height='62' />Ruskin Bond's aim was to write stories and become an author, but no one else seemed to think it was a good idea.""",b'https://www.news18.com/news/lifestyle/mom-laughed-when-i-said-i-wanted-to-be-writer-ruskin-bond-2723697.html',
